AABB,07-May-2018,0.0169,0.0169,0.0169,0.0169,20500
AABVF,07-May-2018,0.1279,0.1279,0.1279,0.1279,4000
AACAF,07-May-2018,14.01,14.01,14.01,14.01,0
AACAY,07-May-2018,14.39,14.39,14.27,14.28,22600
AACS,07-May-2018,0.0012,0.002,0.0012,0.0018,2051300
AAGC,07-May-2018,0.0006,0.0006,0.0003,0.0005,281889700
AAGH,07-May-2018,0.016,0.016,0.016,0.016,100
AAGIY,07-May-2018,34.92,34.98,34.73,34.83,80300
AAIGF,07-May-2018,8.6464,8.78,8.6464,8.78,21400
AAMTF,07-May-2018,0.35,0.35,0.35,0.35,2000
AANR,07-May-2018,26.25,26.35,26.25,26.35,75200
AAPH,07-May-2018,0.0008,0.0008,0.0007,0.0007,300000
AAPJ,07-May-2018,0.012,0.012,0.012,0.012,0
AAPT,07-May-2018,0.0002,0.0002,0.0002,0.0002,250000
AASL,07-May-2018,1.65,1.65,1.65,1.65,0
AASP,07-May-2018,0.765,0.765,0.765,0.765,0
AATDF,07-May-2018,1.75,1.75,1.75,1.75,1000
AATV,07-May-2018,0.4901,0.4901,0.4901,0.4901,100
AAUKF,07-May-2018,23.75,23.75,23.75,23.75,100
AAWC,07-May-2018,0.0009,0.0017,0.0009,0.0017,479700
ABBRF,07-May-2018,0.15,0.15,0.1479,0.1498,20000
ABBY,07-May-2018,0.0058,0.007,0.0058,0.007,31900
ABCCF,07-May-2018,1.09,1.12,1.03,1.058,429100
ABCE,07-May-2018,0.003,0.0042,0.003,0.004,30546000
ABCFF,07-May-2018,0.1853,0.2,0.18,0.18,130400
ABCZF,07-May-2018,17.275,17.5,17.05,17.05,2300
ABCZY,07-May-2018,17.5175,17.87,17.5175,17.86,1100
ABETF,07-May-2018,0.256,0.256,0.256,0.256,10000
ABHD,07-May-2018,0.009,0.009,0.009,0.009,100
ABKB,07-May-2018,0.007,0.007,0.007,0.007,0
ABLZF,07-May-2018,23.5844,23.5844,23.5844,23.5844,600
ABMBF,07-May-2018,0.0505,0.0505,0.0505,0.0505,1500
ABMC,07-May-2018,0.1,0.1,0.1,0.1,10000
ABMT,07-May-2018,0.41,0.41,0.41,0.41,0
ABNAF,07-May-2018,0.1506,0.1506,0.1506,0.1506,200
ABNRY,07-May-2018,15.26,15.41,15.26,15.355,32200
ABPR,07-May-2018,0.0003,0.0003,0.0003,0.0003,206400
ABQQ,07-May-2018,3.1,3.1,3,3,500
ABRTY,07-May-2018,11.01,11.01,11.01,11.01,100
ABSSF,07-May-2018,10.62,10.62,10.62,10.62,100
ABVG,07-May-2018,0.0002,0.0002,0.0001,0.0001,34924400
ABVN,07-May-2018,1.7,1.7,1.7,1.7,100
ABWN,07-May-2018,0.795,0.846,0.7486,0.76,446600
ACAN,07-May-2018,3.12,3.59,3.1,3.35,111600
ACAZF,07-May-2018,14.9501,14.9501,14.9501,14.9501,300
ACBCQ,07-May-2018,0.07,0.07,0.07,0.07,0
ACBFF,07-May-2018,6.365,6.44,6.25,6.28,704700
ACCA,07-May-2018,0.38,0.455,0.35,0.353,42800
ACCR,07-May-2018,0.0001,0.0001,0.0001,0.0001,1000
ACCYY,07-May-2018,11.238,11.37,11.238,11.32,4800
ACDVF,07-May-2018,18.75,18.8086,18.5785,18.5785,2000
ACFN,07-May-2018,0.36,0.36,0.355,0.355,8200
ACGBF,07-May-2018,0.5443,0.5443,0.5443,0.5443,15000
ACGBY,07-May-2018,13.798,13.83,13.76,13.785,13000
ACGX,07-May-2018,0.0012,0.0013,0.0012,0.0012,5488800
ACLZ,07-May-2018,0.3501,0.3501,0.3501,0.3501,2200
ACMC,07-May-2018,2.42,2.42,2.42,2.42,900
ACMTA,07-May-2018,21.25,21.25,21.25,21.25,100
ACNDF,07-May-2018,0.795,0.795,0.795,0.795,500
ACNNF,07-May-2018,1.25,1.28,1.22,1.25,87600
ACOL,07-May-2018,0.0102,0.0103,0.0096,0.0103,1795300
ACOPF,07-May-2018,9.44,9.44,9.163,9.32,4100
ACRL,07-May-2018,0.0006,0.0006,0.0005,0.0005,716800
ACRT,07-May-2018,0.1886,0.1949,0.1886,0.1949,5900
ACSAY,07-May-2018,8.552,8.665,8.552,8.635,51500
ACTA,07-May-2018,0.79,0.79,0.79,0.79,0
ACTL,07-May-2018,0.0002,0.0002,0.0002,0.0002,0
ACUR,07-May-2018,0.45,0.5,0.45,0.49,4600
ACUS,07-May-2018,0.067,0.068,0.065,0.065,32900
ADAC,07-May-2018,0.02,0.02,0.0166,0.0167,3204300
ADAD,07-May-2018,0.0135,0.0135,0.0135,0.0135,5000
ADDDF,07-May-2018,230.53,234.5,230.53,231.5,100
ADDYY,07-May-2018,116.22,116.67,115.62,116.08,53600
ADENF,07-May-2018,0.1991,0.1991,0.1991,0.1991,2500
ADFS,07-May-2018,0.009,0.0095,0.009,0.009,124400
ADGO,07-May-2018,1.44,1.5,1.44,1.49,5600
ADHC,07-May-2018,0.0112,0.0121,0.0078,0.0096,16838900
ADHLF,07-May-2018,0.071,0.071,0.071,0.071,2900
ADIA,07-May-2018,0.006,0.006,0.006,0.006,90300
ADLI,07-May-2018,0.0039,0.0039,0.0039,0.0039,5000
ADLS,07-May-2018,0.0002,0.0002,0.0002,0.0002,0
ADMT,07-May-2018,0.2,0.201,0.175,0.195,109800
ADNY,07-May-2018,0.0006,0.0006,0.0006,0.0006,0
ADOOY,07-May-2018,5.717,5.717,5.717,5.717,0
ADPAS,07-May-2018,0.0007,0.0007,0.0007,0.0007,0
ADRNY,07-May-2018,22.7702,22.79,22.64,22.64,26100
ADSV,07-May-2018,0.0006,0.0006,0.0006,0.0006,0
ADTM,07-May-2018,0.0006,0.0007,0.0005,0.0006,46639600
ADTR,07-May-2018,0.1874,0.1874,0.1874,0.1874,10400
ADVT,07-May-2018,0.0448,0.0448,0.041,0.0433,1270600
ADWPF,07-May-2018,13.921,13.921,13.921,13.921,100
ADYNF,07-May-2018,0.09,0.09,0.09,0.09,400
AEBZY,07-May-2018,1.17,1.2,1.17,1.2,1100
AEEI,07-May-2018,0.045,0.045,0.045,0.045,0
AEEX,07-May-2018,5.15,5.15,5.15,5.15,200
AEGG,07-May-2018,0.033,0.033,0.026,0.026,4000
AEGOF,07-May-2018,6.9901,6.9901,6.9901,6.9901,1300
AEGXF,07-May-2018,14.14,14.14,14.14,14.14,200
AEMC,07-May-2018,0.1,0.1,0.1,0.1,100
AENG,07-May-2018,0.0021,0.0021,0.0021,0.0021,200
AEPT,07-May-2018,0.0099,0.013,0.0067,0.013,109000
AERG,07-May-2018,0.075,0.08,0.0605,0.0775,63500
AERO,07-May-2018,2.36,2.36,2.33,2.36,4600
AETUF,07-May-2018,10.6933,10.7322,10.5981,10.5981,8900
AEXAY,07-May-2018,26.4799,26.48,26.43,26.43,3400
AEXE,07-May-2018,0.0005,0.0006,0.0005,0.0005,934900
AEYE,07-May-2018,0.2113,0.215,0.2075,0.2125,84300
AFBA,07-May-2018,1.5,1.5,1.5,1.5,0
AFFY,07-May-2018,0.0135,0.0135,0.0135,0.0135,400
AFLYY,07-May-2018,8.6,8.83,8.6,8.7,185100
